id,trigger,conditions,script,text,options,notes,,
liminaSalvage5,DialogOptionSelected,$option == liminaSalvage4,SalvageSpecialInteraction,"The chief engineer grins over the comms, ""This Iteration uses some kind of nanite controller made from AI-generated technology to not only contain the nanite infection, but direct it to reconstruct the hull. The method, I think, requires evening a flux differential, so the effects will only be prounounced when actively venting. But in all honesty I'm amazed that a ship-wide nanite infection is not only kept under control, but is actually used to maintain and repair the ship itself! The prospects alone in materials research...""

The chief's smile fades as they see they're beginning to lose you, ""Alternatively, you could just see it as a ship that's nigh immortal in the hands of a good pilot. The ship's ready to be reactivated. Should we proceed with recovery?""",#recoverlimina:Recover the ship,,,
#liminaRecover,DialogOptionSelected,$option == recoverlimina,LiminaAddShip,,defaultLeave:Leave,,,
,,,,,,,,
domres_stationpristineContinueDefenders,BeginSalvage,"$customType == domres_guard_station_pristine
$tag:hmi_pristineguardstation score:103",,"Your salvage crews at first tentatively, and then excitedly report untouched blueprints of ships from the Domain Resurgent itself, along with a treasure trove of designs and experimental weapons. Particularly of interest is a set of schematics and blueprints that can vastly improve the quality of life on a colony. Everything from air filters that can remove toxic gases and convert them into passive energy, to seals that do not degrade under the most vigorous chemical assault, to thin radiation plating that can block just as well as fifty feet of high-end rad shields can be easily constructed from the blueprints using trivially sourced materials. Using these designs and more, colonial exploitation can be made considerably less hazardous for the enterprising colonist.",0:hmi_domres_explore:Fantastic!,,,
domres_stationpristineFacility,DialogOptionSelected,$option == hmi_domres_explore,,"In addition to this trove of fine salvage, you also have a giant hulk of machinery and scrap to process. As your teams take the ship apart, your team locates the records of recieved communications stored on giant, chunky magna-data slates. Curious, you have the ancient dataslates mined. It takes several hours for the poor bastard stuck with the job to finish the task of plying the rad-fried hardware and hideously outdated software to satisfy your curiosity, but eventually a summary is sent to your console.

The first messages are simple orders to claim high priority systems for a 'South Expanse Company'. Later, the communications change source from the company to 'Domain Resurgent', although whether the company changed names or the organisation co-opted the company's assets is unclear. There are some rudimentary surveying information transfers evaluating possible terraforming possibilities, and then a series of increasingly frantic commands which indicate co-ordinates south-west and travel. However, due to some damage in the station or interference, the commands are incomplete. They either demand 'travel' or they give coordinates  but never in the same message. The final command is a Defence Activation, which caused the station to go into star system lock-down and unleash roaming fleets. The final entry, however, is a communication from an unknown source:

""Attention to all Domain Resurgent colonies, if you still exist... or even existed in the first place. Manchester has fallen. A pirate called Scarborough rounded up all the refugees the ""wise adminstrators"" didn't let in and invaded. They, they nuked Exeter to dust. However, it turns out, that our ""wise administrators"" were lying about Exeter being overflowing with food, and the ""mighty forges of Devon"" feeding their empire - they barely had enough food to feed themselves and had wasted everything else on...on YOU guys. Whatever's left of the ""wise administrators"" is making a last stand in order to call in all their defence assets to kill Scarborough. If your automated defence stations just left for no reason, you now know why. But, if you have any sense you WILL. NOT. Follow them.  Whoever wins there's nothing left here. Anything the Domain Resurgent hasn't wasted, Scarborough has burned. We survivors who are ditching our ""wise administrators"" are heading to a system south-west of Manchester - and this time, we're going to succeed where the Domain Resurgent failed.""",0:hmi_domres_salvage_pick:A sad story. But their loss is our gain -  pick through the salvage!,,,
domres_stationpristineSalvage,DialogOptionSelected,$option == hmi_domres_salvage_pick,SalvageEntity performSalvage,,,,,
,,,,,,,,
#Beacons,,,,,,,,
beaconOpenDialogDomRes,OpenInteractionDialog,$tag:warning_beacon_domres score:103,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","An autonomous warning beacon that has grown quiet with age. The ancient construction emits a quiet, static ridden signal on a loop.

""Welcome weary traveller to the Domain Resurgent, where all are welcome to assist in rebuilding the Sector! Give us your tired, your weary, your poor and unfed masses, and together we will rebuild the Domain! Please enter the hyperspace gate and register at the Border Crossing station for processing and future settlement on vardent green worlds! All are welcome in the Domain Resurgent!""",beaconLeave:Leave,,,
beaconOpenDialogDomResBoss,OpenInteractionDialog,$tag:warning_beacon_domresboss score:103,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","An autonomous warning beacon that has grown quiet with age. The ancient construction emits a quiet, static ridden signal on a loop.

""WARNING: This system has been claimed by the Domain Resurgent as a part of the ongoing resettlement and rebuilding the Domain of Man. Autonomous Defense Systems have been activated in this system, and WILL destroy tresspassers. The Domain Resurgent does not take any responsibility for loss of life or property.""",beaconLeave:Leave,,,
beaconOpenDialogMessRem,OpenInteractionDialog,$tag:warning_beacon_messrem score:103,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This partially altered autonomous warning beacon emits a looping message.

""DANGER: This star system is known to contain potentially active autonomous weapon systems. Access to this system by unauthorized parties is forbidden by Hegemony Navy diktat 224.34.""

Underneath this message there is an underlying signal on a different channel, which blares and repeats urgently in loud static.

""Contact the Execs - the Mess has gotten OUT. Repeat - the MESS HAS GOTTEN OUT.""",beaconLeave:Leave,,,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,,,
